release_date,id,language,title,vote_average,country,director
2006,1124,en,The Prestige,8.0,USA,Christopher Nolan
2007,7345,en,There Will Be Blood,7.9,USA,Paul Thomas Anderson
2008,155,en,The Dark Knight,8.2,USA,Christopher Nolan
2009,16869,en,Inglourious Basterds,7.9,USA,Quentin Tarantino
2010,27205,en,Inception,8.1,USA,Christopher Nolan
2011,50014,en,The Help,7.8,USA,Tate Taylor
2012,103663,da,The Hunt,7.9,Denmark,Thomas Vinterberg
2013,106646,en,The Wolf of Wall Street,7.9,USA,Martin Scorsese
2014,244786,en,Whiplash,8.3,USA,Damien Chazelle
2015,150540,en,Inside Out,8.0,USA,Pete Docter
2016,296096,en,Me Before You,7.6,UK,Thea Sharrock
