,release_date,language,title,vote_average,country,director
0,2006,en,The Prestige,8.0,USA,Christopher Nolan
1,2007,en,There Will Be Blood,7.9,USA,Paul Thomas Anderson
2,2008,en,The Dark Knight,8.2,USA,Christopher Nolan
3,2009,en,Inglourious Basterds,7.9,USA,Quentin Tarantino
4,2010,en,Inception,8.1,USA,Christopher Nolan
5,2011,en,The Help,7.8,USA,Tate Taylor
6,2012,da,The Hunt,7.9,Denmark,Thomas Vinterberg
7,2013,en,The Wolf of Wall Street,7.9,USA,Martin Scorsese
8,2014,en,Whiplash,8.3,USA,Damien Chazelle
9,2015,en,Inside Out,8.0,USA,Pete Docter
10,2016,en,Me Before You,7.6,UK,Thea Sharrock
